epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2718.87,0.82605,1.37218,1.37354,1.05595,0.59854,0.40478,0.3526,0.25042,0.60079,0.40438,0.35115,0.23234,0.80938,1.25581,1.43944,1.06236,0.0004258,0.0004258,0.0004258
31,2810.48,0.81416,1.32188,1.32457,1.04734,0.5043,0.37535,0.3696,0.27323,0.5045,0.36949,0.36309,0.24846,0.79346,1.23494,1.39052,1.05139,0.000406,0.000406,0.000406
32,2900.61,0.82283,1.3595,1.29014,1.04951,0.44403,0.43035,0.36572,0.27442,0.44513,0.43165,0.36355,0.24119,0.78711,1.25127,1.45567,1.05336,0.0003862,0.0003862,0.0003862
33,2991.36,0.8114,1.34503,1.34236,1.04471,0.49447,0.44227,0.36774,0.27252,0.51611,0.40864,0.36299,0.24424,0.78763,1.2202,1.41602,1.05374,0.0003664,0.0003664,0.0003664
34,3082.33,0.81241,1.36439,1.2968,1.05126,0.46512,0.43093,0.35971,0.26148,0.46474,0.41834,0.35304,0.23646,0.78269,1.22249,1.36087,1.04755,0.0003466,0.0003466,0.0003466
35,3173.7,0.79951,1.35014,1.35428,1.02895,0.41833,0.39274,0.36024,0.26383,0.42211,0.3894,0.35362,0.23264,0.79292,1.19793,1.44117,1.05656,0.0003268,0.0003268,0.0003268
36,3264.87,0.80452,1.32919,1.2921,1.0442,0.46061,0.42418,0.35338,0.2606,0.45755,0.42269,0.35314,0.23443,0.77429,1.21441,1.34572,1.05179,0.000307,0.000307,0.000307
37,3355.42,0.76644,1.30681,1.28644,1.01712,0.48638,0.47234,0.39699,0.29597,0.48198,0.45718,0.38963,0.26183,0.76783,1.19585,1.28153,1.03509,0.0002872,0.0002872,0.0002872
38,3448.13,0.7703,1.28718,1.24386,1.02212,0.50461,0.43037,0.37346,0.27696,0.49585,0.4113,0.3637,0.24879,0.77772,1.19278,1.34399,1.05022,0.0002674,0.0002674,0.0002674
39,3537.52,0.76553,1.28549,1.27146,1.0194,0.52481,0.34897,0.37001,0.2757,0.5236,0.34785,0.36754,0.2484,0.76611,1.17015,1.36058,1.03883,0.0002476,0.0002476,0.0002476
40,3627.05,0.78728,1.32268,1.24908,1.03992,0.54438,0.36648,0.40181,0.2958,0.54322,0.36517,0.39728,0.26774,0.75986,1.18322,1.28332,1.03402,0.0002278,0.0002278,0.0002278
41,3729.59,0.72101,1.1781,1.50351,1.01982,0.49035,0.35911,0.37681,0.27662,0.48505,0.3489,0.36817,0.24877,0.75688,1.18954,1.31852,1.03211,0.000208,0.000208,0.000208
42,3817.66,0.69806,1.12709,1.3083,1.00498,0.48651,0.46548,0.38565,0.28497,0.48332,0.44421,0.3794,0.26122,0.75833,1.17335,1.28005,1.03567,0.0001882,0.0001882,0.0001882
43,3907.33,0.68979,1.10489,1.33758,0.98222,0.58785,0.38436,0.40614,0.31347,0.58792,0.37955,0.40532,0.28123,0.75403,1.18391,1.2784,1.02982,0.0001684,0.0001684,0.0001684
44,4011.99,0.67134,1.0832,1.38109,0.9665,0.60523,0.35445,0.39755,0.30277,0.60411,0.35314,0.39535,0.27414,0.74128,1.16184,1.29104,1.0195,0.0001486,0.0001486,0.0001486
45,4099.07,0.68217,1.09305,1.29242,0.98802,0.55789,0.40221,0.42029,0.31634,0.573,0.37518,0.41886,0.29257,0.75441,1.17824,1.31111,1.02513,0.0001288,0.0001288,0.0001288
46,4185.97,0.67661,1.09436,1.24341,0.98462,0.53289,0.40271,0.41621,0.31526,0.53517,0.40176,0.41214,0.28482,0.73663,1.15186,1.28048,1.01682,0.000109,0.000109,0.000109
47,4272.53,0.6656,1.05534,1.23961,0.97537,0.57614,0.37915,0.41904,0.32549,0.58367,0.37758,0.41641,0.29203,0.73327,1.15206,1.23715,1.01669,8.92e-05,8.92e-05,8.92e-05
48,4363.51,0.64538,1.0703,1.2063,0.96123,0.54216,0.412,0.39808,0.30428,0.53931,0.40659,0.39342,0.27163,0.72971,1.15906,1.28348,1.0106,6.94e-05,6.94e-05,6.94e-05
49,4456.69,0.64835,1.07273,1.21915,0.96121,0.55112,0.39777,0.40566,0.31681,0.56249,0.38224,0.40438,0.28348,0.7302,1.14695,1.27849,1.01401,4.96e-05,4.96e-05,4.96e-05
50,4536.01,0.65225,1.06364,1.21773,0.96815,0.571,0.39318,0.41822,0.32668,0.5728,0.38492,0.41353,0.29347,0.72276,1.15482,1.25457,1.00899,2.98e-05,2.98e-05,2.98e-05
